Hello from received
15:10:39.377 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.382 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.386 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.386 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.390 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.394 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.394 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.398 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.398 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.402 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.406 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.406 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.410 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.414 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.414 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.418 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.418 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.423 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.427 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.427 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.431 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.435 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.435 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.439 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.443 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.443 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.447 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.447 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.451 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.455 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.455 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.459 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.463 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.464 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.468 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.468 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.472 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.476 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.476 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.480 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.484 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.484 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.488 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.488 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.492 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.496 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.496 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.500 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.504 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.505 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.509 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.509 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.513 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.517 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.517 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.521 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.525 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.525 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.529 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.529 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.533 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.537 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.537 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.541 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.545 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.546 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.550 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.550 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.554 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.558 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.558 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.562 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.566 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.566 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.570 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.570 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.574 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.578 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.578 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.582 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.586 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.586 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.590 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.590 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.595 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.599 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.599 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.603 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.607 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.607 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.611 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.611 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.615 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.619 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.619 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.623 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.627 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.627 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.631 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.631 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.636 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.640 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.640 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.647 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.648 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.648 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.652 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.652 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.656 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.660 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.660 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.664 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.668 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.668 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.672 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.672 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.677 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.681 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.681 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.685 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.689 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.689 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.693 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.697 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.697 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.701 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.701 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.705 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.709 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.709 > X1 :0	 X2 :0	 Y :0	 Z:0
15:10:39.713 > X1 :0	 X2 :0	 Y :0	 Z:0
